Zip,City,State,Latitude,Longitude,relevantFacilities
31045,Jewell,GA,33.285773999999996,-82.7749,"[232525, 232668, 232596, 232645]"
49746,Hillman,MI,45.068394,-83.96070999999999,"[234080, 233255, 265539, 234763, 234130, 234083]"
51109,Sioux City,IA,42.528033,-96.47646999999999,[233467]
65011,Barnett,MO,38.361276000000004,-92.72166999999999,"[233453, 233542, 233575]"
66506,Manhattan,KS,39.194065,-96.57871999999999,"[234280, 233418, 234647, 233468, 233695, 233552, 233602, 233657, 233621]"
67501,Hutchinson,KS,38.034292,-97.92381999999999,"[233659, 233554, 233468]"
67552,Lewis,KS,37.876262,-99.23229,[]
62909,Boles,IL,37.44725,-88.87679200000001,"[233613, 233504, 232609, 233611, 232541]"
58216,Bathgate,ND,48.883906,-97.4489,[]
60090,Wheeling,IL,42.131526,-87.92958,[258887]
47712,Evansville,IN,37.966291999999996,-87.63664,"[232541, 232609]"
47732,Evansville,IN,37.997128000000004,-87.574963,"[232114, 232541, 232609]"
71103,Shreveport,LA,32.490777,-93.76760999999999,"[232536, 232553, 233180, 233828, 233319, 232696]"
72301,West Memphis,AR,35.150009000000004,-90.17636,"[233507, 233684, 233460, 233375]"
45248,Cincinnati,OH,39.160159,-84.65042,[]
55571,Maple Plain,MN,45.015914,-93.47188,[]
54131,Freedom,WI,44.416326,-88.464873,[233777]
38655,Oxford,MS,34.345015999999994,-89.50735,"[233507, 233460, 233634, 232528, 234277, 232255, 233684, 232722, 233375]"
32424,Blountstown,FL,30.420070000000003,-85.07299,[251904]
32534,Pensacola,FL,30.526345000000003,-87.27734,[234704]
44188,Cleveland,OH,41.685744,-81.672797,[233553]
44610,Berlin,OH,40.561587,-81.7981,[233553]
35255,Birmingham,AL,33.544622,-86.929208,"[232423, 232590, 232571, 231990, 233946]"
41542,Lookout,KY,37.314848,-82.464979,"[251947, 251741, 233493, 232625, 251757, 233782]"
43347,Rushsylvania,OH,40.470605,-83.66538,[]
28541,Jacksonville,NC,34.692056,-77.391199,"[234718, 262810, 233332, 233312]"
29848,Troy,SC,33.980222,-82.19013000000001,"[233343, 232727, 232525, 232596, 232645, 232668, 232727, 232561]"
49599,Grand Rapids,MI,43.031413,-85.550267,[234678]
